#pacId	locusName	transcriptName	peptideName	Pfam	Panther	KOG	ec	KO	GO	Best-hit-arabi-name	arabi-symbol	arabi-defline
33020279	Mapoly0001s0010	Mapoly0001s0010.3	Mapoly0001s0010.3.p	PF10555,PF00953	PTHR22926,PTHR22926:SF3		2.7.8.13	K01000	GO:0016021,GO:0008963	AT4G18270.1	ATTRANS11,TRANS11	translocase 11
33020401	Mapoly0001s0011	Mapoly0001s0011.1	Mapoly0001s0011.1.p	PF01111	PTHR23415	KOG3484		K02219	GO:0016538,GO:0007049	AT2G27970.1	CKS2	CDK-subunit 2
33020104	Mapoly0001s0012	Mapoly0001s0012.1	Mapoly0001s0012.1.p	PF10266	PTHR15691,PTHR15691:SF6			K18464	GO:0071203			
33020105	Mapoly0001s0012	Mapoly0001s0012.2	Mapoly0001s0012.2.p	PF10266	PTHR15691,PTHR15691:SF6			K18464	GO:0071203			
33020560	Mapoly0001s0013	Mapoly0001s0013.1	Mapoly0001s0013.1.p									
33019883	Mapoly0001s0014	Mapoly0001s0014.1	Mapoly0001s0014.1.p	PF07650,PF00189	PTHR11760,PTHR11760:SF22	KOG3181		K02985	GO:0003723	AT5G35530.1		Ribosomal protein S3 family protein
33019884	Mapoly0001s0014	Mapoly0001s0014.2	Mapoly0001s0014.2.p	PF07650,PF00189	PTHR11760,PTHR11760:SF22	KOG3181			GO:0003723	AT5G35530.1		Ribosomal protein S3 family protein
33020562	Mapoly0001s0015	Mapoly0001s0015.1	Mapoly0001s0015.1.p		PTHR13555,PTHR13555:SF34					AT2G02148.1		
33020563	Mapoly0001s0015	Mapoly0001s0015.2	Mapoly0001s0015.2.p		PTHR13555,PTHR13555:SF34					AT2G02148.1		
33020564	Mapoly0001s0015	Mapoly0001s0015.3	Mapoly0001s0015.3.p		PTHR13555,PTHR13555:SF34					AT2G02148.1		
33020458	Mapoly0001s0016	Mapoly0001s0016.1	Mapoly0001s0016.1.p									
33020411	Mapoly0001s0017	Mapoly0001s0017.1	Mapoly0001s0017.1.p	PF07741,PF00382	PTHR11618,PTHR11618:SF4	KOG1598		K15196	GO:0017025,GO:0008270,GO:0006355,GO:0006352,GO:0006384,GO:0000126	AT3G09360.1		Cyclin/Brf1-like TBP-binding protein
33020296	Mapoly0001s0018	Mapoly0001s0018.1	Mapoly0001s0018.1.p	PF10584,PF00227	PTHR11599,PTHR11599:SF13	KOG0178	3.4.25.1	K02728	GO:0019773,GO:0006511,GO:0004175,GO:0051603,GO:0005839,GO:0004298	AT3G22110.1	PAC1	20S proteasome alpha subunit C1
33020166	Mapoly0001s0019	Mapoly0001s0019.1	Mapoly0001s0019.1.p		PTHR36014,PTHR36014:SF1					AT2G26340.1		
33020449	Mapoly0001s0020	Mapoly0001s0020.1	Mapoly0001s0020.1.p	PF13837	PTHR33492,PTHR33492:SF3					AT2G33550.1		Homeodomain-like superfamily protein
33020451	Mapoly0001s0020	Mapoly0001s0020.2	Mapoly0001s0020.2.p	PF13837	PTHR33492,PTHR33492:SF3					AT2G33550.1		Homeodomain-like superfamily protein
33020450	Mapoly0001s0020	Mapoly0001s0020.3	Mapoly0001s0020.3.p	PF13837	PTHR33492,PTHR33492:SF3					AT2G33550.1		Homeodomain-like superfamily protein
33020452	Mapoly0001s0020	Mapoly0001s0020.4	Mapoly0001s0020.4.p	PF13837	PTHR33492,PTHR33492:SF3					AT2G33550.1		Homeodomain-like superfamily protein
33020454	Mapoly0001s0020	Mapoly0001s0020.5	Mapoly0001s0020.5.p	PF13837	PTHR33492,PTHR33492:SF3					AT2G33550.1		Homeodomain-like superfamily protein
33020453	Mapoly0001s0020	Mapoly0001s0020.6	Mapoly0001s0020.6.p	PF13837	PTHR33492,PTHR33492:SF3					AT2G33550.1		Homeodomain-like superfamily protein
33020514	Mapoly0001s0021	Mapoly0001s0021.1	Mapoly0001s0021.1.p	PF00170	PTHR13301,PTHR13301:SF68			K16241	GO:0043565,GO:0006355,GO:0003700	AT5G11260.1	HY5,TED 5	Basic-leucine zipper (bZIP) transcription factor family protein
33020635	Mapoly0001s0022	Mapoly0001s0022.1	Mapoly0001s0022.1.p	PF00924	PTHR30566,PTHR30566:SF5			K16052	GO:0055085,GO:0016020	AT4G00290.1		Mechanosensitive ion channel protein
33020636	Mapoly0001s0022	Mapoly0001s0022.2	Mapoly0001s0022.2.p	PF00924	PTHR30566,PTHR30566:SF5				GO:0055085,GO:0016020	AT4G00290.1		Mechanosensitive ion channel protein
33019953	Mapoly0001s0023	Mapoly0001s0023.1	Mapoly0001s0023.1.p	PF00450	PTHR11802,PTHR11802:SF96	KOG1282	3.4.16.5	K16296	GO:0006508,GO:0004185	AT4G12910.1	scpl20	serine carboxypeptidase-like 20
33020007	Mapoly0001s0024	Mapoly0001s0024.1	Mapoly0001s0024.1.p	PF03126	PTHR13115,PTHR13115:SF8	KOG2402		K15178	GO:0003677,GO:0016593,GO:0016570,GO:0006368	AT1G61040.1	VIP5	plus-3 domain-containing protein
33020124	Mapoly0001s0025	Mapoly0001s0025.1	Mapoly0001s0025.1.p	PF00504	PTHR21649,PTHR21649:SF6			K08915	GO:0016020,GO:0009765	AT3G08940.2	LHCB4.2	light harvesting complex photosystem II
33020394	Mapoly0001s0026	Mapoly0001s0026.1	Mapoly0001s0026.1.p		PTHR35993					AT1G76405.2		
33020417	Mapoly0001s0027	Mapoly0001s0027.1	Mapoly0001s0027.1.p	PF01471			3.4.17.14					
33020504	Mapoly0001s0028	Mapoly0001s0028.1	Mapoly0001s0028.1.p	PF00808	PTHR10252,PTHR10252:SF36					AT5G19490.1		Histone superfamily protein
33020607	Mapoly0001s0029	Mapoly0001s0029.1	Mapoly0001s0029.1.p	PF01979	PTHR11647,PTHR11647:SF59	KOG2902	3.5.2.3	K01465	GO:0016787,GO:0019856,GO:0004151	AT4G22930.1	DHOASE,PYR4	pyrimidin 4
33020526	Mapoly0001s0030	Mapoly0001s0030.1	Mapoly0001s0030.1.p	PF16363,PF02453	PTHR10366,PTHR10366:SF242	KOG1430	1.1.1.170	K07748		AT2G26260.1	3BETAHSD/D2,AT3BETAHSD/D2	3beta-hydroxysteroid-dehydrogenase/decarboxylase isoform 2
33020034	Mapoly0001s0031	Mapoly0001s0031.1	Mapoly0001s0031.1.p	PF00069	PTHR11584,PTHR11584:SF316	KOG0594	2.7.11.1		GO:0006468,GO:0005524,GO:0004672	AT5G01920.1	STN8	Protein kinase superfamily protein
33020342	Mapoly0001s0032	Mapoly0001s0032.1	Mapoly0001s0032.1.p	PF03141	PTHR10108,PTHR10108:SF772		2.1.1.157		GO:0008168	AT5G06050.1		Putative methyltransferase family protein
33020343	Mapoly0001s0032	Mapoly0001s0032.2	Mapoly0001s0032.2.p	PF03141	PTHR10108,PTHR10108:SF929		2.1.1.157		GO:0008168	AT2G39750.1		S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
33020619	Mapoly0001s0033	Mapoly0001s0033.1	Mapoly0001s0033.1.p		PTHR11227,PTHR11227:SF25	KOG2111				AT2G40810.1	ATATG18C,ATG18C	homolog of yeast autophagy 18C
33020288	Mapoly0001s0034	Mapoly0001s0034.1	Mapoly0001s0034.1.p									
33020163	Mapoly0001s0035	Mapoly0001s0035.1	Mapoly0001s0035.1.p									
33019978	Mapoly0001s0036	Mapoly0001s0036.1	Mapoly0001s0036.1.p									
33020495	Mapoly0001s0037	Mapoly0001s0037.1	Mapoly0001s0037.1.p	PF10607	PTHR12864	KOG2659				AT1G06060.1		LisH and RanBPM domains containing protein
33020499	Mapoly0001s0037	Mapoly0001s0037.2	Mapoly0001s0037.2.p	PF10607	PTHR12864	KOG2659				AT1G06060.1		LisH and RanBPM domains containing protein
33020500	Mapoly0001s0037	Mapoly0001s0037.3	Mapoly0001s0037.3.p	PF10607	PTHR12864	KOG2659				AT1G06060.1		LisH and RanBPM domains containing protein
33020501	Mapoly0001s0037	Mapoly0001s0037.4	Mapoly0001s0037.4.p	PF10607	PTHR12864	KOG2659				AT1G06060.1		LisH and RanBPM domains containing protein
33020498	Mapoly0001s0037	Mapoly0001s0037.5	Mapoly0001s0037.5.p	PF10607	PTHR12864	KOG2659				AT1G06060.1		LisH and RanBPM domains containing protein
33020497	Mapoly0001s0037	Mapoly0001s0037.6	Mapoly0001s0037.6.p	PF10607	PTHR12864	KOG2659				AT1G06060.1		LisH and RanBPM domains containing protein
33020496	Mapoly0001s0037	Mapoly0001s0037.7	Mapoly0001s0037.7.p	PF10607	PTHR12864	KOG2659				AT1G06060.1		LisH and RanBPM domains containing protein
33020179	Mapoly0001s0038	Mapoly0001s0038.1	Mapoly0001s0038.1.p	PF02990	PTHR10766,PTHR10766:SF52			K17087	GO:0016021	AT1G10950.1	AtTMN1,TMN1	transmembrane nine 1
33019876	Mapoly0001s0039	Mapoly0001s0039.1	Mapoly0001s0039.1.p	PF03914	PTHR12048			K14832		AT1G72440.1	EDA25,SWA2	CCAAT-binding factor
33020080	Mapoly0001s0040	Mapoly0001s0040.1	Mapoly0001s0040.1.p	PF16050,PF05179	PTHR12466,PTHR12466:SF8	KOG3786		K15175	GO:0016593,GO:0016570,GO:0006368	AT3G22590.1	CDC73,PHP	PLANT HOMOLOGOUS TO PARAFIBROMIN
33020081	Mapoly0001s0040	Mapoly0001s0040.2	Mapoly0001s0040.2.p	PF16050,PF05179	PTHR12466,PTHR12466:SF8	KOG3786		K15175	GO:0016593,GO:0016570,GO:0006368	AT3G22590.1	CDC73,PHP	PLANT HOMOLOGOUS TO PARAFIBROMIN
33020576	Mapoly0001s0041	Mapoly0001s0041.1	Mapoly0001s0041.1.p	PF00439,PF00271,PF00176	PTHR10799,PTHR10799:SF577		3.6.4.12	K11647	GO:0005515,GO:0005524	AT2G46020.2	ATBRM,BRM,CHA2,CHR2	transcription regulatory protein SNF2, putative
33020577	Mapoly0001s0041	Mapoly0001s0041.2	Mapoly0001s0041.2.p	PF00439,PF00271,PF00176	PTHR10799,PTHR10799:SF577		3.6.4.12	K11647	GO:0005515,GO:0005524	AT2G46020.2	ATBRM,BRM,CHA2,CHR2	transcription regulatory protein SNF2, putative
33020222	Mapoly0001s0042	Mapoly0001s0042.1	Mapoly0001s0042.1.p	PF12095	PTHR36803					AT5G39210.1	CRR7	chlororespiratory reduction 7
33020102	Mapoly0001s0043	Mapoly0001s0043.1	Mapoly0001s0043.1.p		PTHR14154,PTHR14154:SF14					AT4G17600.1	LIL3:1	Chlorophyll A-B binding family protein
33020182	Mapoly0001s0044	Mapoly0001s0044.1	Mapoly0001s0044.1.p		PTHR31110,PTHR31110:SF2					AT4G24610.1		
33020249	Mapoly0001s0045	Mapoly0001s0045.1	Mapoly0001s0045.1.p	PF13360,PF07774	PTHR21573,PTHR21573:SF0				GO:0072546	AT5G11560.1		catalytics
33020184	Mapoly0001s0046	Mapoly0001s0046.1	Mapoly0001s0046.1.p	PF05071	PTHR12910,PTHR12910:SF2	KOG3382	1.6.5.3	K11352	GO:0016020,GO:0009055,GO:0008137	AT3G03100.1		NADH:ubiquinone oxidoreductase, 17.2kDa subunit
33020527	Mapoly0001s0047	Mapoly0001s0047.1	Mapoly0001s0047.1.p	PF16983	PTHR31970,PTHR31970:SF0				GO:0016021,GO:0015689,GO:0015098	AT2G25680.1	MOT1	molybdate transporter 1
33020032	Mapoly0001s0048	Mapoly0001s0048.1	Mapoly0001s0048.1.p									
33019897	Mapoly0001s0049	Mapoly0001s0049.1	Mapoly0001s0049.1.p	PF12638	PTHR31750,PTHR31750:SF4					AT4G11910.1		
33020403	Mapoly0001s0050	Mapoly0001s0050.1	Mapoly0001s0050.1.p	PF00646	PTHR32133,PTHR32133:SF124				GO:0005515	AT5G15710.1		Galactose oxidase/kelch repeat superfamily protein
33020121	Mapoly0001s0051	Mapoly0001s0051.1	Mapoly0001s0051.1.p	PF00646	PTHR32133,PTHR32133:SF124				GO:0005515	AT1G14315.2		F-box and associated interaction domains-containing protein
33020531	Mapoly0001s0052	Mapoly0001s0052.1	Mapoly0001s0052.1.p	PF00400	PTHR22847	KOG0279,KOG0265		K12602	GO:0005515	AT4G29830.1	VIP3	Transducin/WD40 repeat-like superfamily protein
33020578	Mapoly0001s0053	Mapoly0001s0053.1	Mapoly0001s0053.1.p		PTHR35693			K17402		AT1G26750.1		
33020652	Mapoly0001s0054	Mapoly0001s0054.1	Mapoly0001s0054.1.p									
33020416	Mapoly0001s0055	Mapoly0001s0055.1	Mapoly0001s0055.1.p	PF01535,PF13041	PTHR24015					AT1G51965.1	ABO5	ABA Overly-Sensitive 5
33020581	Mapoly0001s0056	Mapoly0001s0056.1	Mapoly0001s0056.1.p		PTHR34776,PTHR34776:SF1					AT1G16770.1		
33020582	Mapoly0001s0056	Mapoly0001s0056.2	Mapoly0001s0056.2.p		PTHR34776,PTHR34776:SF1					AT1G16770.1		
33020023	Mapoly0001s0057	Mapoly0001s0057.1	Mapoly0001s0057.1.p	PF01323	PTHR13887,PTHR13887:SF10				GO:0015035	AT5G38900.1		Thioredoxin superfamily protein
33020284	Mapoly0001s0058	Mapoly0001s0058.1	Mapoly0001s0058.1.p	PF00155	PTHR11751,PTHR11751:SF358	KOG0256	4.4.1.14	K01762	GO:0030170,GO:0009058	AT2G22810.1	ACC4,ACS4,ATACS4	1-aminocyclopropane-1-carboxylate synthase 4
33019974	Mapoly0001s0059	Mapoly0001s0059.1	Mapoly0001s0059.1.p									
33020523	Mapoly0001s0060	Mapoly0001s0060.1	Mapoly0001s0060.1.p									
33020039	Mapoly0001s0061	Mapoly0001s0061.1	Mapoly0001s0061.1.p	PF13921	PTHR10641,PTHR10641:SF612	KOG0048				AT5G58850.1	ATMYB119,MYB119	myb domain protein 119
33020040	Mapoly0001s0061	Mapoly0001s0061.2	Mapoly0001s0061.2.p	PF13921	PTHR10641,PTHR10641:SF612	KOG0048				AT5G58850.1	ATMYB119,MYB119	myb domain protein 119
33020041	Mapoly0001s0061	Mapoly0001s0061.3	Mapoly0001s0061.3.p	PF13921	PTHR10641,PTHR10641:SF612	KOG0048				AT5G58850.1	ATMYB119,MYB119	myb domain protein 119
33020042	Mapoly0001s0061	Mapoly0001s0061.4	Mapoly0001s0061.4.p	PF13921	PTHR10641,PTHR10641:SF612	KOG0048				AT5G58850.1	ATMYB119,MYB119	myb domain protein 119
33020614	Mapoly0001s0062	Mapoly0001s0062.1	Mapoly0001s0062.1.p	PF05739	PTHR19957,PTHR19957:SF129			K08506	GO:0005515	AT3G09740.1	ATSYP71,SYP71	syntaxin of plants 71
33020615	Mapoly0001s0062	Mapoly0001s0062.2	Mapoly0001s0062.2.p	PF05739	PTHR19957,PTHR19957:SF129			K08506	GO:0005515	AT3G09740.1	ATSYP71,SYP71	syntaxin of plants 71
33019911	Mapoly0001s0063	Mapoly0001s0063.1	Mapoly0001s0063.1.p	PF00027	PTHR11635		2.7.11.12					
33020108	Mapoly0001s0064	Mapoly0001s0064.1	Mapoly0001s0064.1.p	PF00588	PTHR12029,PTHR12029:SF48		2.1.1.34		GO:0008173,GO:0006396,GO:0003723	AT4G15520.1		tRNA/rRNA methyltransferase (SpoU) family protein
33020185	Mapoly0001s0065	Mapoly0001s0065.1	Mapoly0001s0065.1.p	PF01103	PTHR12815,PTHR12815:SF7			K07277	GO:0019867	AT5G19620.1	ATOEP80,EMB213,OEP80,TOC75	outer envelope protein of 80 kDa
33020186	Mapoly0001s0065	Mapoly0001s0065.2	Mapoly0001s0065.2.p	PF01103	PTHR12815,PTHR12815:SF7				GO:0019867	AT5G19620.1	ATOEP80,EMB213,OEP80,TOC75	outer envelope protein of 80 kDa
33020209	Mapoly0001s0066	Mapoly0001s0066.1	Mapoly0001s0066.1.p	PF04884	PTHR12770,PTHR12770:SF22	KOG4249				AT1G13770.1	RUS3	Protein of unknown function, DUF647
33020210	Mapoly0001s0066	Mapoly0001s0066.2	Mapoly0001s0066.2.p	PF04884	PTHR12770,PTHR12770:SF22					AT1G13770.1	RUS3	Protein of unknown function, DUF647
33020304	Mapoly0001s0067	Mapoly0001s0067.1	Mapoly0001s0067.1.p									
33020427	Mapoly0001s0068	Mapoly0001s0068.1	Mapoly0001s0068.1.p									
33020510	Mapoly0001s0069	Mapoly0001s0069.1	Mapoly0001s0069.1.p									
33020092	Mapoly0001s0070	Mapoly0001s0070.1	Mapoly0001s0070.1.p	PF02453	PTHR10994,PTHR10994:SF84					AT5G58000.1		Reticulon family protein
33020532	Mapoly0001s0071	Mapoly0001s0071.1	Mapoly0001s0071.1.p	PF00067	PTHR24298	KOG0156	1.14.13.21		GO:0055114,GO:0020037,GO:0016705,GO:0005506	AT2G45560.1	CYP76C1	cytochrome P450, family 76, subfamily C, polypeptide 1
33020297	Mapoly0001s0072	Mapoly0001s0072.1	Mapoly0001s0072.1.p									
33020216	Mapoly0001s0073	Mapoly0001s0073.1	Mapoly0001s0073.1.p	PF01344	PTHR24412				GO:0005515	AT2G44130.1		Galactose oxidase/kelch repeat superfamily protein
33020522	Mapoly0001s0074	Mapoly0001s0074.1	Mapoly0001s0074.1.p	PF03016	PTHR11062,PTHR11062:SF56	KOG1021				AT2G31990.1		Exostosin family protein
33020228	Mapoly0001s0075	Mapoly0001s0075.1	Mapoly0001s0075.1.p	PF14291	PTHR11697,PTHR11697:SF137					AT1G19260.1		TTF-type zinc finger protein with HAT dimerisation domain
33020402	Mapoly0001s0076	Mapoly0001s0076.1	Mapoly0001s0076.1.p	PF12711,PF00225,PF06548	PTHR24115,PTHR24115:SF413		3.6.4.4	K10400	GO:0008017,GO:0007018,GO:0005524,GO:0003777,GO:0005871	AT3G23670.1	KINESIN-12B,PAKRP1L	phragmoplast-associated kinesin-related protein, putative
33020352	Mapoly0001s0077	Mapoly0001s0077.1	Mapoly0001s0077.1.p	PF03016	PTHR11062,PTHR11062:SF95	KOG1021	2.4.2.41			AT4G38040.1		Exostosin family protein
33020276	Mapoly0001s0078	Mapoly0001s0078.1	Mapoly0001s0078.1.p	PF01545	PTHR11562,PTHR11562:SF31	KOG1482		K14689	GO:0055085,GO:0016021,GO:0008324,GO:0006812	AT2G46800.2	ATCDF1,ATMTP1,MTP1,ZAT,ZAT1	zinc transporter of Arabidopsis thaliana
33020392	Mapoly0001s0079	Mapoly0001s0079.1	Mapoly0001s0079.1.p	PF13561	PTHR24322,PTHR24322:SF408	KOG0725	1.1.1.331			AT3G26770.1		NAD(P)-binding Rossmann-fold superfamily protein
33020313	Mapoly0001s0080	Mapoly0001s0080.1	Mapoly0001s0080.1.p	PF13540,PF00415	PTHR22870	KOG1427				AT5G08710.1		Regulator of chromosome condensation (RCC1) family protein
33020240	Mapoly0001s0081	Mapoly0001s0081.1	Mapoly0001s0081.1.p	PF10253	PTHR13621	KOG3903		K13105		AT2G19270.1		
33020521	Mapoly0001s0082	Mapoly0001s0082.1	Mapoly0001s0082.1.p	PF00153	PTHR24089,PTHR24089:SF396	KOG0756		K15100		AT5G01340.1		Mitochondrial substrate carrier family protein
33020430	Mapoly0001s0083	Mapoly0001s0083.1	Mapoly0001s0083.1.p		PTHR15107					AT3G52115.1	ATCOM1,ATGR1,COM1,GR1	gamma response gene 1
33020037	Mapoly0001s0084	Mapoly0001s0084.1	Mapoly0001s0084.1.p	PF13374,PF13424	PTHR19959,PTHR19959:SF171	KOG1840				AT5G53080.1		Tetratricopeptide repeat (TPR)-like superfamily protein
33019950	Mapoly0001s0085	Mapoly0001s0085.1	Mapoly0001s0085.1.p	PF00400	PTHR22847,PTHR22847:SF474			K12816	GO:0005515	AT1G10580.1		Transducin/WD40 repeat-like superfamily protein
33019951	Mapoly0001s0085	Mapoly0001s0085.2	Mapoly0001s0085.2.p	PF00400	PTHR22847,PTHR22847:SF474			K12816	GO:0005515	AT1G10580.1		Transducin/WD40 repeat-like superfamily protein
33019999	Mapoly0001s0086	Mapoly0001s0086.1	Mapoly0001s0086.1.p									
33019889	Mapoly0001s0087	Mapoly0001s0087.1	Mapoly0001s0087.1.p									
33020250	Mapoly0001s0088	Mapoly0001s0088.1	Mapoly0001s0088.1.p									
33020336	Mapoly0001s0089	Mapoly0001s0089.1	Mapoly0001s0089.1.p		PTHR35468					AT1G51405.1		myosin-related
33020337	Mapoly0001s0089	Mapoly0001s0089.2	Mapoly0001s0089.2.p		PTHR35468					AT1G51405.1		myosin-related
33019949	Mapoly0001s0090	Mapoly0001s0090.1	Mapoly0001s0090.1.p	PF06212	PTHR12966,PTHR12966:SF0	KOG3300		K11353		AT1G04630.1	MEE4	GRIM-19 protein
33019927	Mapoly0001s0091	Mapoly0001s0091.1	Mapoly0001s0091.1.p	PF11595	PTHR35741,PTHR35741:SF1					AT3G61370.1		Protein of unknown function (DUF3245)
33019919	Mapoly0001s0092	Mapoly0001s0092.1	Mapoly0001s0092.1.p	PF06695	PTHR36007,PTHR36007:SF1					AT2G02590.1		
33020053	Mapoly0001s0093	Mapoly0001s0093.1	Mapoly0001s0093.1.p	PF05684	PTHR34289,PTHR34289:SF3					AT5G52540.1		Protein of unknown function (DUF819)
33020580	Mapoly0001s0094	Mapoly0001s0094.1	Mapoly0001s0094.1.p	PF03959	PTHR22778,PTHR22778:SF22	KOG2551				AT4G24380.1		
33020640	Mapoly0001s0095	Mapoly0001s0095.1	Mapoly0001s0095.1.p		PTHR24031,PTHR24031:SF221		3.6.4.13	K13025		AT4G37020.1		
33020360	Mapoly0001s0096	Mapoly0001s0096.1	Mapoly0001s0096.1.p	PF01095	PTHR31321		3.1.1.11	K01051	GO:0042545,GO:0030599,GO:0005618	AT5G19730.1		Pectin lyase-like superfamily protein
33020361	Mapoly0001s0096	Mapoly0001s0096.2	Mapoly0001s0096.2.p	PF01095	PTHR31321		3.1.1.11	K01051	GO:0042545,GO:0030599,GO:0005618	AT5G19730.1		Pectin lyase-like superfamily protein
33020645	Mapoly0001s0097	Mapoly0001s0097.1	Mapoly0001s0097.1.p									
33020544	Mapoly0001s0098	Mapoly0001s0098.1	Mapoly0001s0098.1.p	PF00139	PTHR27007		2.7.11.1		GO:0030246	AT3G55550.1		Concanavalin A-like lectin protein kinase family protein
33020050	Mapoly0001s0099	Mapoly0001s0099.1	Mapoly0001s0099.1.p	PF00070	PTHR22912,PTHR22912:SF144	KOG1336	1.6.5.4	K08232	GO:0055114,GO:0016491	AT3G52880.1	ATMDAR1,MDAR1	monodehydroascorbate reductase 1
33020493	Mapoly0001s0100	Mapoly0001s0100.1	Mapoly0001s0100.1.p	PF04833	PTHR31052				GO:0031225,GO:0016049,GO:0010215	AT4G27110.1	COBL11	COBRA-like protein 11 precursor
33020356	Mapoly0001s0101	Mapoly0001s0101.1	Mapoly0001s0101.1.p		PTHR34541,PTHR34541:SF2					AT3G14830.2		
33020616	Mapoly0001s0102	Mapoly0001s0102.1	Mapoly0001s0102.1.p									
33020028	Mapoly0001s0103	Mapoly0001s0103.1	Mapoly0001s0103.1.p	PF00462	PTHR10293,PTHR10293:SF45	KOG0911			GO:0045454,GO:0015035,GO:0009055	AT2G38270.1	ATGRX2,CXIP2	CAX-interacting protein 2
33020550	Mapoly0001s0104	Mapoly0001s0104.1	Mapoly0001s0104.1.p	PF00694	PTHR11670		4.2.1.33	K01704	GO:0008152	AT2G43090.1		Aconitase/3-isopropylmalate dehydratase protein
33020285	Mapoly0001s0105	Mapoly0001s0105.1	Mapoly0001s0105.1.p	PF14551,PF00493	PTHR11630,PTHR11630:SF46		3.6.4.12	K02541	GO:0006260,GO:0005524,GO:0003677	AT5G46280.1	MCM3	Minichromosome maintenance (MCM2/3/5) family protein
33020213	Mapoly0001s0106	Mapoly0001s0106.1	Mapoly0001s0106.1.p	PF00241	PTHR11913,PTHR11913:SF20	KOG1735		K05765	GO:0005622,GO:0003779,GO:0030042,GO:0015629	AT1G01750.1	ADF11	actin depolymerizing factor 11
33020541	Mapoly0001s0107	Mapoly0001s0107.1	Mapoly0001s0107.1.p		PTHR31852					AT4G35170.1		Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
33020089	Mapoly0001s0108	Mapoly0001s0108.1	Mapoly0001s0108.1.p									
33020325	Mapoly0001s0109	Mapoly0001s0109.1	Mapoly0001s0109.1.p	PF04725	PTHR34369			K03541	GO:0042651,GO:0015979,GO:0009654,GO:0009523	AT1G79040.1	PSBR	photosystem II subunit R
33020115	Mapoly0001s0110	Mapoly0001s0110.1	Mapoly0001s0110.1.p	PF00160	PTHR11071	KOG0880	5.2.1.8		GO:0006457,GO:0003755,GO:0000413	AT2G21130.1		Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein
33020200	Mapoly0001s0111	Mapoly0001s0111.1	Mapoly0001s0111.1.p	PF07714,PF12819	PTHR27003,PTHR27003:SF23	KOG1187	2.7.11.1,2.7.10.1		GO:0006468,GO:0004672	AT2G37050.3		Leucine-rich repeat protein kinase family protein
33020113	Mapoly0001s0112	Mapoly0001s0112.1	Mapoly0001s0112.1.p	PF01775	PTHR10052,PTHR10052:SF10	KOG0829		K02882	GO:0006412,GO:0005840,GO:0003735	AT2G34480.1		Ribosomal protein L18ae/LX family protein
33020599	Mapoly0001s0113	Mapoly0001s0113.1	Mapoly0001s0113.1.p	PF13692,PF13439	PTHR12526,PTHR12526:SF389	KOG0853	2.4.1.132,2.4.1.257	K03843		AT1G78800.1		UDP-Glycosyltransferase superfamily protein
33020641	Mapoly0001s0114	Mapoly0001s0114.1	Mapoly0001s0114.1.p	PF03629	PTHR31988		3.1.1.72			AT4G34215.1		Domain of unknown function (DUF303) 
33020354	Mapoly0001s0115	Mapoly0001s0115.1	Mapoly0001s0115.1.p	PF00651,PF13637	PTHR24413,PTHR24413:SF121				GO:0005515	AT5G67480.2	ATBT4,BT4	BTB and TAZ domain protein 4
